Claim History,Previous Claims History,Premium Amount,Coverage Amount,Anomaly
5,3,2749,366603,1
0,2,1966,780236,1
4,1,4413,773926,1
5,0,4342,787815,1
3,3,1276,366506,1
4,2,1106,570757,1
3,1,3661,604069,1
3,3,1148,418997,1
0,1,2612,319423,1
4,1,4595,701577,1
2,1,2935,898873,1
1,2,4517,777280,1
4,3,2861,299600,1
4,1,3971,276109,1
2,2,2760,399139,1
1,1,2334,807659,1
4,0,4634,667081,1
3,2,2802,963585,1
0,2,4342,869812,1
4,3,1843,777902,1
0,1,4476,202342,1
4,1,1167,739884,1
2,2,4395,993093,1
0,3,1650,183174,1
4,1,996,854840,1
4,3,4137,281436,1
1,1,2112,739695,1
4,1,3651,557438,1
0,2,1821,204430,1
4,3,1170,272732,1
5,1,4750,147014,1
3,1,4482,263967,1
2,1,2755,894822,1
4,1,1368,140842,1
5,1,3712,86986,1
2,3,4543,953822,1
0,3,1114,416625,1
0,3,4358,394000,1
3,1,1759,173302,1
1,1,4176,272019,1
1,3,4518,709925,1
4,0,1673,881692,1
2,2,1746,765164,1
4,1,4327,159257,1
0,3,3391,301509,1
1,0,4576,141739,1
3,0,1831,862512,1
4,0,1023,268755,1
0,1,642,291168,1
5,0,2281,672130,1
0,1,4728,381066,1
4,1,3258,506799,1
0,2,2211,811300,1
4,1,3169,412935,1
5,3,4360,520891,1
0,0,1705,764160,1
4,0,3442,303805,1
3,3,4515,72197,1
3,1,1302,319027,1
4,1,2440,959874,1
0,2,3701,860404,1
1,3,3224,474860,1
4,3,1727,536474,1
1,3,4042,76379,1
3,3,3452,195071,1
1,3,5000,870289,1
2,3,4251,229680,1
3,2,3062,837024,1
0,2,3660,105332,1
4,3,3774,392077,1
4,2,1804,430449,1
4,3,4478,141511,1
5,1,2312,708894,1
4,3,2945,756389,1
3,1,1635,111225,1
5,1,2574,381438,1
1,2,4648,182076,1
2,1,4560,411474,1
5,1,4389,417647,1
5,0,3179,825768,1
1,3,1752,664021,1
0,1,3154,758402,1
5,3,3500,257434,1
4,0,1119,811752,1
4,0,619,771359,-1
3,2,4493,761152,1
3,0,4601,547195,1
2,2,2732,588549,1
4,3,2635,111311,1
2,3,797,754520,1
3,1,4742,846398,1
4,1,1186,654092,1
3,0,4417,760317,1
0,2,2175,885024,1
0,3,1686,793941,1
5,1,733,879195,-1
4,0,623,612835,-1
5,0,2909,50001,-1
3,1,3566,362506,1
1,3,1136,451282,1
0,1,3037,548503,1
3,3,4105,854247,1
4,2,2780,209193,1
3,0,2441,498692,1
4,2,4298,95472,1
1,3,3577,883566,1
0,1,1902,637511,1
4,0,4520,151720,1
2,2,1580,144440,1
5,3,3481,183676,1
4,1,4263,176445,1
4,0,1757,164121,1
5,0,2947,851601,1
0,3,692,586222,1
3,3,3556,828663,1
1,1,3549,626894,1
0,2,4382,442549,1
4,0,3284,855523,1
2,3,1201,480980,1
4,2,1939,772496,1
3,3,1585,875673,1
4,1,4257,340804,1
3,0,1488,856807,1
3,1,4253,74041,1
1,1,4485,346643,1
4,3,787,968137,-1
0,1,3083,698698,1
4,3,3560,189806,1
0,3,1798,147630,1
0,0,4297,153575,1
3,0,4387,688709,1
2,1,1202,214966,1
3,1,4279,497429,1
3,3,2918,515461,1
1,3,4400,987601,1
3,1,3396,669105,1
1,3,4338,138202,1
0,2,3702,724576,1
3,3,3474,768097,1
0,3,3138,201341,1
5,0,3746,147191,1
3,1,4227,511902,1
3,3,3503,613633,1
1,0,2366,687190,1
1,1,2216,99701,1
4,3,2658,279298,1
0,2,635,581779,1
0,2,4126,622744,1
0,0,3572,813387,1
3,1,4628,949161,1
5,0,1316,186863,-1
4,3,4644,258500,1
2,1,4267,725860,1
1,1,4668,285640,1
5,2,3575,203365,1
2,1,4367,303768,1
5,1,3172,738680,1
0,3,3864,187922,1
3,3,4528,690744,1
3,3,3524,377619,1
0,0,2102,849413,-1
1,0,1681,799607,1
4,0,3063,870247,1
3,0,2237,566304,1
2,2,3189,221392,1
0,2,3183,388838,1
0,3,3572,217513,1
3,3,4697,166377,1
5,2,3678,233750,1
4,3,4436,594296,1
3,1,2938,673827,1
0,3,1792,515202,1
4,2,4889,218100,1
5,1,2840,558309,1
1,0,3959,750440,1
3,1,4337,61748,1
5,3,4460,480381,1
4,1,749,540761,1
3,3,3630,423471,1
4,1,3616,220342,1
0,1,1399,603777,1
5,3,4833,306805,1
4,1,2717,849271,1
4,3,4573,812338,1
3,2,3640,322405,1
2,3,2778,557448,1
3,1,1643,404771,1
4,3,2672,601396,1
5,3,2288,283200,1
3,3,1861,160208,1
2,3,4424,565867,1
4,1,2364,938999,1
5,2,2697,763467,1
4,3,1541,338117,1
3,0,2372,570992,1
0,1,4299,531516,1
4,2,1816,369648,1
2,1,3413,186670,1
0,3,4648,663208,1
4,3,4316,437147,1
0,3,3867,64282,1
3,3,4593,660275,1
5,2,2892,545049,1
4,1,4592,650295,1
0,1,2901,79407,1
3,3,2281,500348,1
3,3,3147,143864,1
5,2,1878,829498,1
3,0,2769,188012,1
5,1,2576,287827,1
4,3,3338,507886,1
2,3,3068,296286,1
0,0,3688,543926,1
5,1,3245,204818,1
2,2,3029,422449,1
0,1,4474,396407,1
3,1,3028,132794,1
5,2,3907,77879,1
3,1,4497,322110,1
2,2,3114,875289,1
3,3,4622,872792,1
3,1,1768,187627,1
0,2,2336,144099,1
1,0,1916,85155,1
0,1,626,889688,-1
4,3,3028,803702,1
2,3,3930,598385,1
2,3,1670,205148,1
4,2,3855,629596,1
0,2,567,258186,-1
3,3,661,212663,1
3,2,2375,112810,1
5,1,4209,603353,1
0,3,1550,195827,1
0,3,2635,299629,1
0,2,4084,760823,1
3,1,3655,616887,1
0,1,4555,866054,1
3,3,709,944380,-1
0,3,2159,386330,1
3,2,3824,437699,1
3,1,3709,505140,1
4,3,1549,569823,1
4,1,1468,835928,1
0,1,3388,620922,1
0,3,1842,198386,1
4,1,3188,518667,1
4,1,4596,599328,1
3,1,1944,252431,1
0,0,761,467531,-1
4,1,628,176212,1
3,1,3722,305368,1
4,2,4377,422980,1
1,0,735,672519,-1
4,1,2221,732312,1
4,2,4442,405216,1
5,3,636,365010,-1
0,0,3937,722480,1
3,3,4466,96594,1
0,1,4512,854849,1
0,3,1431,87703,1
4,1,3652,450166,1
0,2,1249,919361,1
0,1,3450,796038,1
3,0,4559,260950,1
1,2,1797,665999,1
3,0,1843,160105,1
1,1,2085,353123,1
0,3,669,713856,1
0,2,1641,699004,1
5,1,1610,970108,-1
1,3,2032,129616,1
5,1,2715,195688,1
4,3,1295,528416,1
2,3,2757,905984,1
1,1,2879,413718,1
4,3,4574,365160,1
5,1,1227,961288,-1
5,2,599,274367,-1
3,0,1525,405507,1
1,3,3404,81611,1
3,1,4394,352050,1
0,3,4357,149006,1
4,3,3410,200704,1
0,2,4339,980035,1
0,3,1725,685647,1
1,3,1062,591584,1
0,3,4452,602985,1
1,1,3551,191084,1
2,3,4567,582087,1
4,3,3443,670021,1
3,2,4631,647850,1
5,2,4755,327648,1
5,2,3055,944003,1
2,2,3280,203900,1
1,1,4357,571830,1
0,0,4664,572861,1
3,3,4008,148992,1
5,3,1728,682702,1
2,1,2354,976124,1
3,1,578,163158,1
2,0,1581,795124,1
2,2,3383,395833,1
3,3,1970,300512,1
2,0,3027,169973,1
4,0,3011,628121,1
2,3,4588,249762,1
0,3,4717,535435,1
0,0,4010,245833,1
4,2,2538,345415,1
1,1,1274,829418,1
4,3,1622,67442,1
4,0,3661,238805,1
0,1,2298,977083,1
2,2,4360,706483,1
3,3,1158,921608,1
3,1,2769,391050,1
1,3,3627,297081,1
4,3,3898,444694,1
1,2,1283,371163,1
3,2,3221,788911,1
3,1,4799,643114,1
3,0,4455,311029,1
2,2,3017,945797,1
3,0,2702,184342,1
3,0,3712,861301,1
5,0,3875,506640,1
2,1,1874,326434,1
3,1,3576,245776,1
1,0,1330,140023,1
2,2,4507,362470,1
3,3,4383,549712,1
4,1,2126,179741,1
5,3,4666,387994,1
5,1,4404,438803,1
2,3,3520,78166,1
4,3,3645,222309,1
3,2,3643,157980,1
3,1,4460,156637,1
0,3,4353,230527,1
5,1,4752,487646,1
4,3,1797,889659,1
2,3,2043,749727,1
0,2,3385,573163,1
1,3,1478,67917,1
0,0,727,738330,-1
2,0,3468,579878,1
4,3,3439,413437,1
5,0,1066,824861,-1
4,3,1312,273746,1
4,3,3497,323916,1
0,0,4464,463607,1
3,3,4697,195964,1
1,2,2499,239046,1
3,3,4824,788613,1
3,2,3860,242869,1
4,2,4284,730696,1
2,3,1150,800015,1
2,2,773,596014,1
4,3,1841,661679,1
4,1,3601,946162,1
0,3,1720,303055,1
4,0,4899,761973,1
0,2,3036,134558,1
4,3,1805,397599,1
3,3,4471,364798,1
3,3,2656,872056,1
0,1,3047,139974,1
4,1,1650,100579,1
3,3,4815,331254,1
2,1,2302,703635,1
2,1,4547,764494,1
4,2,2338,216125,1
0,1,3536,107019,1
3,0,3690,555785,1
0,1,1771,348875,1
3,0,2574,979496,1
0,1,4519,540980,1
1,0,3106,207089,1
5,3,3553,303357,1
3,2,1690,370321,1
4,1,4847,666002,1
2,3,4102,925458,1
3,3,2830,186112,1
0,0,4850,503283,-1
5,3,3631,245607,1
5,3,4866,859711,-1
3,1,3441,195827,1
4,0,3317,277337,1
0,3,4444,694411,1
4,1,4941,382363,1
4,2,2980,233072,1
4,0,1714,401083,1
4,3,4494,524451,1
0,1,4201,893488,1
3,3,3237,725322,1
3,2,4646,516086,1
0,1,3175,405310,1
0,3,4604,87507,1
4,3,775,967741,-1
0,3,3245,292292,1
0,1,2464,822131,1
4,1,3988,827751,1
4,3,4048,316638,1
3,3,2594,136198,1
3,1,1855,186859,1
4,2,4007,761877,1
0,2,3535,397984,1
0,3,4282,547444,1
0,1,3580,399285,1
0,1,541,54683,-1
3,1,713,201532,1
0,1,4557,663724,1
0,1,1041,478627,1
1,1,4309,152110,1
2,1,4106,171218,1
4,2,625,221718,1
0,1,2293,683676,1
4,3,1992,709234,1
1,1,599,636190,1
4,3,4366,727571,1
2,0,640,124699,-1
5,1,4440,458391,1
3,2,3927,823326,1
0,1,4617,144718,1
1,3,4346,193119,1
4,1,1656,788145,1
2,3,4219,511919,1
5,3,3478,291773,1
1,3,3549,684531,1
1,1,1390,232755,1
3,1,2275,701522,1
0,2,4892,939970,-1
4,0,1195,296660,1
0,2,3880,990431,1
5,2,1022,418622,1
0,3,3740,258386,1
1,3,941,635165,1
3,0,3041,639124,1
2,0,1617,75672,1
2,2,4513,779242,1
2,3,3091,377129,1
2,3,4552,288316,1
3,3,4119,281257,1
1,0,1988,867101,1
4,3,2242,336603,1
4,1,3234,211011,1
0,3,4501,169972,1
0,3,4306,348647,1
0,2,3346,791913,1
5,2,4529,723138,1
2,0,763,315868,1
1,1,2600,882256,1
0,0,3215,764408,1
1,3,3856,93436,1
3,1,1740,375954,1
3,3,3696,176644,1
0,2,4359,878151,1
1,2,4484,78073,1
4,2,3497,768040,1
4,3,4485,519066,1
0,1,2243,439791,1
3,0,1727,281265,1
5,1,3397,861067,1
0,2,3065,739409,1
3,1,1339,85573,1
4,1,777,194764,1
0,3,2417,205326,1
0,2,2930,259532,1
3,3,2878,258665,1
3,3,4236,707235,1
3,2,1470,752659,1
3,2,4891,500890,1
5,0,4404,431885,1
1,1,4309,776218,1
0,0,1566,532618,1
4,2,4405,174326,1
3,3,2019,169031,1
2,0,1253,120501,1
4,1,2693,96567,1
3,1,4476,762643,1
1,0,1791,156336,1
0,0,3192,498727,1
4,1,2045,666559,1
4,1,4891,617401,1
4,1,2051,765243,1
4,1,1734,183985,1
5,1,1545,515257,1
2,0,3292,847690,1
4,0,3641,398378,1
0,1,4353,425401,1
2,1,3081,893997,1
1,0,3769,308829,1
0,1,1165,785886,1
5,2,2171,610814,1
5,3,4827,187126,1
1,0,1543,344340,1
4,1,4663,481228,1
0,1,2217,203000,1
3,0,1836,519897,1
1,3,2623,171530,1
3,3,1469,158865,1
2,1,1845,992311,1
5,2,677,161711,-1
2,3,759,307713,1
4,3,1630,401602,1
3,1,2695,580662,1
1,0,3616,134486,1
5,1,3193,876588,1
2,3,4469,955796,1
0,3,2617,583796,1
5,1,4032,917569,1
3,1,3630,394033,1
1,0,1361,269523,1
0,0,1164,584590,1
3,2,3206,761209,1
1,2,745,391443,1
3,1,1286,76175,1
0,3,3646,197364,1
4,1,558,414722,1
0,3,2271,608984,1
5,1,4422,84594,1
4,3,2609,883285,1
5,0,3483,542798,1
4,1,3428,578096,1
4,1,4666,893277,1
3,1,3645,906931,1
4,3,1130,250125,1
3,2,1167,454620,1
3,1,4812,301848,1
5,2,3744,222034,1
2,1,3468,300831,1
0,1,699,642541,1
0,3,3533,299603,1
3,2,1126,761882,1
1,0,4968,190470,-1
1,3,1075,756454,1
4,0,722,723883,1
3,0,1486,476816,1
5,3,821,825924,-1
1,1,3674,760600,1
2,3,2755,973352,1
3,1,2969,632418,1
3,0,4346,599225,1
